# GraphRAG Chunk File - Generated from MSRCorpus PDFs
# Generated: 2025-12-03T08:25:05.237760
# Format: chunkId\tdocId\tchunkIx\tstartPos\tendPos\tsectionPath\ttext\tsourceUri\tcontentHash\tlanguage
chunk:230f2315b07bdf1b	doc:ec42b89acb88d075	0	0	973	0000_newcopy/chunk_0	Understanding Source Code Evolution Using Abstract Syntax Tree Matching Iulian Neamtiu neamtiu@cs.umd.edu Jeffrey S. Foster jfoster@cs.umd.edu Michael Hicks mwh@cs.umd.edu Department of Computer Science University of Maryland at College Park ABSTRACT Mining software repositories at the source code level can pro- vide a greater understanding of how software evolves. We present a tool for quickly comparing the source code of dif- ferent versions of a C program. The approach is based on partial abstract syntax tree matching, and can track sim- ple changes to global variables, types and functions. These changes can characterize aspects of software evolution use- ful for answering higher level questions. In particular, we consider how they could be used to inform the design of a dynamic software updating system. We report results based on measurements of various versions of popular open source programs, including BIND, OpenSSH, Apache, Vsftpd and the Linux kernel.	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:8b4a5d7448229bde	en
chunk:928b978f81362427	doc:ec42b89acb88d075	1	873	1767	0000_newcopy/chunk_1	sions of popular open source programs, including BIND, OpenSSH, Apache, Vsftpd and the Linux kernel. Categories and Subject Descriptors F.3.2 [Logics And Meanings Of Programs]: Semantics of Programming Languages—Program Analysis General Terms Languages, Measurement Keywords Source code analysis, abstract syntax trees, software evolu- tion 1. INTRODUCTION Understanding how software evolves over time can im- prove our ability to build and maintain it. Source code repositories contain rich historical information, but we lack eﬀective tools to mine repositories for key facts and statistics that paint a clear image of the software evolution process. Our interest in characterizing software evolution is mo- tivated by two problems. First, we are interested in dy- namic software updating (DSU), a technique for ﬁxing bugs or adding features in running programs without halting ser- vice [4].	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:95ee153b5ae66745	en
chunk:fea8cef764b6aaa5	doc:ec42b89acb88d075	2	1667	2524	0000_newcopy/chunk_2	U), a technique for ﬁxing bugs or adding features in running programs without halting ser- vice [4]. DSU can be tricky for programs whose types change, so understanding how the type structure of real programs changes over time can be invaluable for weighing the merits of DSU implementation choices. Second, we are interested in a kind of “release digest” for explaining changes in a software release: what functions or variables have changed, where the hot spots are, whether or not the changes aﬀect certain com- ponents, etc. Typical release notes can be too high level for developers, and output from diff can be too low level. To answer these and other software evolution questions, we have developed a tool that can quickly tabulate and sum- marize simple changes to successive versions of C programs by partially matching their abstract syntax trees.	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:13e11f6274cf24d5	en
chunk:bc66fbfc1a45424a	doc:ec42b89acb88d075	3	2424	3229	0000_newcopy/chunk_3	mple changes to successive versions of C programs by partially matching their abstract syntax trees. The tool identiﬁes the changes, additions, and deletions of global vari- ables, types, and functions, and uses this information to re- port a variety of statistics. Our approach is based on the observation that for C pro- grams, function names are relatively stable over time. We analyze the bodies of functions of the same name and match their abstract syntax trees structurally. During this process, we compute a bijection between type and variable names in the two program versions. We then use this information to determine what changes have been made to the code. This approach allows us to report a name or type change as single diﬀerence, even if it results in multiple changes to the source code.	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:046cf9f12da6cae9	en
chunk:2faca37f2ac6dee3	doc:ec42b89acb88d075	4	3129	4116	0000_newcopy/chunk_4	name or type change as single diﬀerence, even if it results in multiple changes to the source code. For example, changing a variable name from x to y would cause a tool like diff to report all lines that formerly referred to x as changed (since they would now refer to y), even if they are structurally the same. Our system avoids this problem. We have used our tool to study the evolution history of a variety of popular open source programs, including Apache, OpenSSH, Vsftpd, Bind, and the Linux kernel. This study has revealed trends that we have used to inform our de- sign for DSU. In particular, we observed that function and global variable additions are far more frequent than dele- tions; the rates of addition and deletion vary from program to program. We also found that function bodies change quite frequently over time, but function prototypes change only rarely. Finally, type deﬁnitions (like struct and union declarations) change infrequently, and often in simple ways.	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:e4335927e502d244	en
chunk:de27653fac2a7478	doc:ec42b89acb88d075	5	4016	4833	0000_newcopy/chunk_5	type deﬁnitions (like struct and union declarations) change infrequently, and often in simple ways. Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for proﬁt or commercial advantage and that copies bear this notice and the full citation on the ﬁrst page. To copy otherwise, to republish, to post on servers or to redistribute to lists, requires prior speciﬁc permission and/or a fee. MSR ’05, May 17, 2005, Saint Louis, Missouri, USA Copyright 2005 ACM 1-59593-123-6/05/0005 ...$5.00. 2. APPROACH Figure 1 provides an overview of our tool. We begin by parsing the two program versions to produce abstract syn- tax trees (ASTs), which we traverse in parallel to collect type and name mappings.	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:0ef87c5c426e0c4b	en
chunk:9f50955a8be4dfb8	doc:ec42b89acb88d075	6	4733	5714	0000_newcopy/chunk_6	uce abstract syn- tax trees (ASTs), which we traverse in parallel to collect type and name mappings. With the mappings at hand, we then detect and collect changes to report to the user, either 1 Figure 1: High level view of AST matching i n t s z t ; typedef i n t count ; struct f o o { i n t i ; f l o a t f ; char c ; } ; i n t baz ( i n t a , i n t b ) { struct f o o s f ; s z t c = 2 ; s f . i = a + b + c ; count++; } i n t c o u n t e r ; typedef struct bar { i n t s i z e t ; i n t i ; f l o a t f ; char c ; } ; i n t baz ( i n t d , i n t e ) { struct bar sb ; s i z e t g = 2 ; sb . i = d + e + g ; c o u n t e r ++; } void b i f f ( void ) { } Figure 2: Two successive program versions do then directly or in summary form. In this section, we describe the matching algorithm, illustrate how changes are detected and reported, and describe our implementation and its per- formance. 2.1 AST Matching Figure 2 presents an example of two successive versions of a program.	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:24704044867201d4	en
chunk:753881d752071f9e	doc:ec42b89acb88d075	7	5614	6543	0000_newcopy/chunk_7	er- formance. 2.1 AST Matching Figure 2 presents an example of two successive versions of a program. Assuming the example on the left is the initial version, our tool discovers that the body of baz is unchanged—which is what we would like, because even though every line has been syntactically modiﬁed, the function in fact is structurally the same, and produces the same out- put. Our tool also determines that the type sz t has been renamed size t, the global variable count has been renamed counter, the structure foo has been renamed bar, and the function biff() has been added. Notice that if we had done a line-oriented diff instead, nearly all the lines in the pro- gram would have been marked as changed, providing little useful information. To report these results, the tool must ﬁnd a bijection be- tween the old and new names in the program, even though functions and type declarations have been reordered and modiﬁed.	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:83b0d71f270c7e3a	en
chunk:03dfe10b6e90f7d9	doc:ec42b89acb88d075	8	6443	7409	0000_newcopy/chunk_8	w names in the program, even though functions and type declarations have been reordered and modiﬁed. To do this, the tool begins by ﬁnding function names that are common between program versions; our as- sumption is that function names do not change very often. The tool then uses partial matching of function bodies to determine name maps between old and new versions, and ﬁnally tries to ﬁnd bijections i.e., one-to-one, onto submaps of the name maps. We traverse the ASTs of the function bodies of the old and new versions in parallel, adding entries to a LocalNameMap and GlobalNameMap to form mappings between local vari- able names and global variable names, respectively. Two variables are considered equal if we encounter them in the same syntactic position in the two function bodies. For ex- ample, in Figure 2, parallel traversal of the two versions of baz results in the LocalNameMap a ↔ d, b ↔ e, sf ↔ sb, c ↔ g and a GlobalNameMap with count ↔ counter.	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:a69efc4351f83c35	en
chunk:9cb46d7078ff2265	doc:ec42b89acb88d075	9	7309	8282	0000_newcopy/chunk_9	z results in the LocalNameMap a ↔ d, b ↔ e, sf ↔ sb, c ↔ g and a GlobalNameMap with count ↔ counter. Similarly, 2 8 < : >>>>>>>>>>>>>>>>>< >>>>>>>>>>>>>>>>>: procedure GenerateMaps(V ersion1, V ersion2) F1 ← set of all functions in Version 1 F2 ← set of all functions in Version 2 global T ypeM ap ← ∅ global GlobalN ameM ap ← ∅ for each function f ∈ F1 ∩ F2 do AST1 ← AST of f in Version 1 AST2 ← AST of f in Version 2 Match Ast(AST1, AST2) procedure Match Ast(AST1, AST2) local LocalN ameM ap ← ∅ for each (node1, node2) ∈ (AST1, AST2) if (node1, node2) = (t1 x1, t2 x2) 8 T ypeM ap ← T ypeM ap ∪ {t1 ↔ t2} then else if (node1, node2) = (y1 := e1 op e0 LocalN ameM ap ← LocalN ameM ap ∪ {x1 ↔ x2} 1, y2 := e2 op e0 2) //declaration 8 Match Ast(e1, e2) >>>>>< Match Ast(e0 1, e0 2) if isLocal(y1) and isLocal(y2) then >>>>>: LocalN ameM ap ← LocalN ameM ap ∪ {y1 ↔ y2} else if isGlobal(y1) and isGlobal(y2) then GlobalN ameM ap ← GlobalN ameM ap ∪ {y1 ↔ y2} else if . . .	file:///mnt/c/Users/Zuhayr/Downloads/MSRCorpus/0000_newcopy.pdf	hash:59c5b402603edbf6	en
